,comments
323,Biden gets on my nerves not answering questions. we need to get another president I think he needs to be impeached he not done anything to help the United States 😡😡😡 at least Trump  stood up for the people
324,"This guy literally didn't have a plan. 

He gave up Bagram Air Base, withdrew all close air support and military contractors from the country (doesn't surprise me that the Afghan military just crumbled as a result), and essentially gave Kabul to the Taliban despite the fact that they didn't have to. There are many other actions that were just stupidly done on top of those already mentioned. On July 8th he stated that you wouldn't see helicopters taking off from the roofs or grounds of the US Embassy. He messed this up in every way possible and yet the media is going out and trying to cover for him. He also blames everyone but himself for this debacle. What a terrible president. "
325,"Why do I never feel proud, uplifted, hopeful, and encouraged after hearing this president? More importantly, why do I even listen to him anymore?"
326,They never wanted our help dont want it good job
327,Honestly fearing and can’t wait for the day that Gen z takes over this world
328,After well over a trillion dollars has been spent on state building in Afghanistan now it's a bad idea?! Really?? Just when we thought that spending millions to build sophisticated electronic case-filing systems for courts in a country that has no electricity was a great idea!
329,"Afghanistan is the right place to bury the Empires
You will never forget that learn your lesson
#Afghanpower
#ZANDABADAFGHANISTAN"
330,They did their jobs and did it well too bad we can’t say the same thing for you
331,It’s literally 1980s politics
332,so he waited 3 months and got everything he was warned about
333,"For the Chinese,Biden acted like a reality show🤪"
334,Those 13 heroes deaths are on his head!
335,Never underestimate Joe's ability to 🖕 thing's up.
336,"I take FULL RESPONSIBILITY!.. but let me point out (by pointing and jabbing my E.T. like finger) that most of the blame for how it went lays with the Afgan leaders, the Afgan military, my own military and civilian advisors, those left behind, and Trump... the buck stops with me!"
337,Ending the war or losing the war
338,"Over 2,325 years ago--Alexander the Great himself knew (While conquering and subduing all Greece ---Europe and Asia, through Afghanistan, Iraq and ending up in India ), that out of all his travels ---Only Afghanistan was the one territory he feared.   In his journals written by his biographer he wrote about the Nomad tribes in Afghanistan ---""""Men, he said speaking to his generals---lets get out this forsaken and hellish place. There is nothing here in the best interests of Greece. Although I have great respect for their solitude ----these are a people who often employ gorilla warfare and will stab you back or slit your throat while you are sleeping. This wasteland isn't worth it...    That said, may God bless President Joe Biden for finally abiding by the Prophecy of Alexander the Great ---and getting the hell out of there, and bringing our soldiers home for good and ending a long drawn out war that will go on and on and go no-where.. God bless America.!"
339,Don’t blame me I’m a trump supporter
340,Oops. They left the comments on. This should be a good few hours of entertainment.
341,"I like when he pulls down his mask and coughs in his hand.  For me, that's a defining moment."
342,Calling Biden a real President is like calling Jeffery Damher a gourmet chef 🤡
343,"How is that our president if those are not his words??? He even had to read the ""Thank You God Bless"" part."
344,These words are methodical… he is trying to write  history and he is trying to control what will be said about him… he knows those that stand with him will sound byte this as if he was glorious… I mean he was a glorious bungholio
345,Wow! He’s blaming a lot of people. But did a perfect job himself.
346,Was it me or was he straining so hard just to read.
347,Holy crap he looks tired! Grettings from a Trump supporter of Denmark
348,They dont even legitimately brief him with factual data.
349,I CANNOT STAND THIS MAN !!! LORD FOR GIVE ME!
350,I keep expecting him to walk onto the screen and get to the podium before he realizes he isnt wearing his pants.
351,I'm glad your leaving those 23 students from America there. They were training in terrorist camps anyways...
352,He's just pulling all the troops in preparation for the war on our home turf
353,"“Unlike the African American community, with notable exceptions, the Latino community is an incredibly diverse community...” -Joe Biden"
354,He is living in pure fantasy land. To call this anything other than a defeat and betrayal of all the people who died and have been left behind is just ludicrous.
